student_id,school,sex,age,address_type,family_size,parent_status,mother_education,father_education,mother_job,father_job,school_choice_reason,guardian,travel_time,study_time,class_failures,school_support,family_support,extra_paid_classes,activities,nursery_school,higher_ed,internet_access,romantic_relationship,family_relationship,free_time,social,weekday_alcohol,weekend_alcohol,health,absences,grade_1,grade_2,final_grade
29,GP,M,16,Urban,Less than or equal to 3,Apart,secondary education,higher education,services,other,home,mother,<15 min.,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,2,12,12,13
30,GP,M,16,Urban,Greater than 3,Living together,higher education,higher education,teacher,teacher,home,mother,<15 min.,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,4,12,11,12
31,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,health,services,home,mother,<15 min.,2 to 5 hours,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,10,11,11
32,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,services,services,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,2,15,15,15
33,GP,M,15,Rural,Greater than 3,Living together,higher education,secondary education,teacher,at_home,course,mother,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,13,14,15
34,GP,M,15,Urban,Less than or equal to 3,Living together,secondary education,secondary education,other,other,course,mother,<15 min.,2 to 5 hours,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,13,12,12
35,GP,M,16,Urban,Greater than 3,Living together,secondary education,5th to 9th grade,other,other,home,mother,<15 min.,<2 hours,0,no,yes,no,no,no,yes,yes,no,5,4,3,1,1,5,4,12,12,12
36,GP,F,15,Urban,Greater than 3,Living together,5th to 9th grade,secondary education,other,other,other,father,15 to 30 min.,<2 hours,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,4,11,11,11
37,GP,M,15,Urban,Less than or equal to 3,Living together,higher education,secondary education,teacher,services,home,mother,<15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,0,14,14,14
38,GP,M,16,Rural,Greater than 3,Apart,higher education,higher education,other,teacher,reputation,mother,15 to 30 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,4,13,13,13
39,GP,F,15,Rural,Greater than 3,Living together,secondary education,higher education,services,health,course,mother,<15 min.,5 to 10 hours,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,11,12,12
40,GP,F,15,Rural,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,at_home,other,reputation,mother,<15 min.,<2 hours,0,yes,yes,no,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,12
41,GP,F,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,other,home,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,16,11,11,10
42,GP,M,15,Urban,Less than or equal to 3,Living together,higher education,higher education,teacher,other,home,other,<15 min.,<2 hours,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,10,11,11
43,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,services,teacher,course,father,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,0,14,15,15
44,GP,M,15,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,services,services,course,father,<15 min.,<2 hours,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,9,10,10
45,GP,F,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,at_home,course,father,15 to 30 min.,2 to 5 hours,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,11,11
46,GP,F,15,Urban,Less than or equal to 3,Apart,higher education,secondary education,other,other,course,mother,<15 min.,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,4,10,11,11
47,GP,F,16,Urban,Less than or equal to 3,Apart,secondary education,secondary education,other,services,home,mother,<15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,6,13,12,13
48,GP,M,16,Urban,Greater than 3,Living together,higher education,secondary education,health,services,reputation,mother,<15 min.,>10 hours,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,2,17,17,17
49,GP,M,15,Urban,Greater than 3,Living together,higher education,5th to 9th grade,teacher,other,home,mother,<15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,no,no,4,3,3,2,2,5,4,11,12,13
50,GP,F,15,Urban,Greater than 3,Living together,higher education,higher education,services,teacher,other,father,<15 min.,2 to 5 hours,0,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,13,12,12
51,GP,F,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,services,services,course,mother,30 min. to 1 hour,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,4,3,3,2,3,4,0,14,13,13
52,GP,F,15,Urban,Less than or equal to 3,Living together,higher education,5th to 9th grade,health,other,other,mother,<15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,5,0,16,14,16
53,GP,M,15,Urban,Less than or equal to 3,Apart,higher education,5th to 9th grade,health,health,other,father,15 to 30 min.,<2 hours,0,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,4,10,9,9
54,GP,F,15,Urban,Greater than 3,Living together,higher education,higher education,services,services,course,mother,<15 min.,<2 hours,0,yes,yes,no,no,yes,yes,yes,no,3,3,4,2,3,5,0,13,12,12
55,GP,F,15,Urban,Less than or equal to 3,Apart,secondary education,secondary education,other,other,other,mother,<15 min.,<2 hours,0,no,no,no,no,yes,yes,yes,no,5,3,4,4,4,1,0,13,12,13
56,GP,F,16,Urban,Greater than 3,Apart,5th to 9th grade,primary education (4th grade),other,other,other,mother,<15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,2,12,13,12
57,GP,F,15,Urban,Greater than 3,Apart,higher education,secondary education,services,services,reputation,mother,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,1,0,15,14,15
58,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,teacher,health,reputation,mother,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,8,15,15,16
59,GP,M,15,Urban,Less than or equal to 3,Living together,primary education (4th grade),5th to 9th grade,other,at_home,home,father,<15 min.,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0,14,13,14
60,GP,F,16,Urban,Greater than 3,Living together,higher education,5th to 9th grade,services,other,course,mother,<15 min.,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4,2,3,1,1,5,2,16,15,16
61,GP,F,16,Rural,Greater than 3,Living together,higher education,higher education,health,teacher,other,mother,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,0,17,16,16
62,GP,F,16,Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),services,services,course,father,>1 hour,<2 hours,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,0,10,10,16
63,GP,F,16,Urban,Less than or equal to 3,Living together,primary education (4th grade),5th to 9th grade,other,services,reputation,father,<15 min.,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,0,13,13,10
64,GP,F,16,Urban,Greater than 3,Living together,higher education,secondary education,teacher,health,home,mother,<15 min.,5 to 10 hours,0,yes,yes,no,yes,yes,yes,yes,no,3,4,4,2,4,4,0,14,13,13
65,GP,F,15,Urban,Less than or equal to 3,Living together,higher education,secondary education,services,services,reputation,father,<15 min.,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,13,12,12
66,GP,F,16,Urban,Less than or equal to 3,Living together,higher education,secondary education,teacher,services,course,mother,30 min. to 1 hour,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,16
67,GP,M,15,Urban,Greater than 3,Apart,higher education,higher education,other,services,reputation,mother,<15 min.,>10 hours,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,0,11,12,12
68,GP,F,16,Urban,Greater than 3,Living together,secondary education,primary education (4th grade),services,other,course,mother,<15 min.,>10 hours,0,yes,yes,no,no,yes,yes,yes,no,4,3,3,1,2,5,0,10,9,10
69,GP,F,15,Rural,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,health,services,reputation,mother,15 to 30 min.,2 to 5 hours,0,yes,yes,no,no,yes,yes,yes,no,4,1,3,1,3,4,0,11,10,11
70,GP,F,15,Rural,Less than or equal to 3,Living together,secondary education,primary education (4th grade),other,other,reputation,father,15 to 30 min.,>10 hours,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,6,15,15,15
71,GP,M,16,Urban,Greater than 3,Living together,secondary education,primary education (4th grade),other,other,reputation,father,15 to 30 min.,>10 hours,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,1,5,2,13,11,11
72,GP,M,15,Urban,Greater than 3,Living together,higher education,5th to 9th grade,other,other,course,mother,<15 min.,>10 hours,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,11,9,10
73,GP,F,15,Rural,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),other,other,reputation,mother,<15 min.,2 to 5 hours,0,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,13,11,11
74,GP,M,16,Urban,Greater than 3,Living together,secondary education,primary education (4th grade),other,other,reputation,mother,<15 min.,<2 hours,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,0,13,13,14
75,GP,F,16,Urban,Greater than 3,Living together,secondary education,secondary education,other,services,home,mother,<15 min.,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,no,4,3,3,2,4,5,4,11,11,11
76,GP,M,15,Urban,Greater than 3,Living together,higher education,secondary education,teacher,other,home,mother,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,3,5,0,11,11,11
77,GP,M,15,Urban,Greater than 3,Living together,higher education,none,teacher,other,course,mother,15 to 30 min.,>10 hours,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,0,12,11,11
78,GP,F,16,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,other,other,reputation,mother,<15 min.,>10 hours,0,no,no,no,no,yes,yes,yes,yes,5,2,3,1,3,3,1,13,13,13
79,GP,M,17,Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),other,other,home,mother,15 to 30 min.,<2 hours,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,0,9,9,10
80,GP,F,16,Urban,Greater than 3,Living together,secondary education,higher education,at_home,other,course,mother,<15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,14,12,11,11
81,GP,M,15,Urban,Greater than 3,Living together,5th to 9th grade,secondary education,other,services,course,father,<15 min.,<2 hours,0,yes,yes,no,yes,no,yes,yes,yes,3,2,2,1,3,3,0,11,11,12
82,GP,M,15,Urban,Greater than 3,Living together,5th to 9th grade,secondary education,other,other,home,mother,<15 min.,5 to 10 hours,0,yes,no,no,no,no,yes,yes,no,5,3,2,1,2,5,2,10,9,9
83,GP,F,15,Urban,Less than or equal to 3,Living together,secondary education,5th to 9th grade,services,other,reputation,mother,<15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,1,5,4,12,11,11
84,GP,M,15,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,services,services,home,mother,15 to 30 min.,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,2,13,12,13
85,GP,F,15,Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),other,other,home,father,<15 min.,2 to 5 hours,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,13,12,12
86,GP,F,15,Urban,Greater than 3,Living together,higher education,higher education,services,services,reputation,father,15 to 30 min.,2 to 5 hours,0,no,no,no,no,yes,yes,yes,yes,4,4,4,2,3,5,4,12,11,12
87,GP,F,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,at_home,other,course,mother,<15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,6,13,11,11
88,GP,F,15,Urban,Greater than 3,Living together,higher education,5th to 9th grade,other,other,reputation,mother,<15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,15,15,15
89,GP,M,16,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,services,other,reputation,father,15 to 30 min.,2 to 5 hours,0,no,no,no,yes,no,yes,yes,no,4,4,2,1,1,3,6,12,10,11
90,GP,M,16,Urban,Less than or equal to 3,Apart,higher education,higher education,teacher,health,reputation,mother,<15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,6,9,9,10
91,GP,F,16,Urban,Greater than 3,Living together,secondary education,secondary education,other,other,home,mother,<15 min.,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,yes,4,3,3,1,3,4,2,9,11,11
92,GP,F,15,Urban,Greater than 3,Living together,higher education,secondary education,services,other,reputation,mother,<15 min.,<2 hours,0,no,no,no,yes,yes,yes,yes,no,4,5,5,1,3,1,6,14,13,13
93,GP,F,16,Urban,Less than or equal to 3,Living together,secondary education,primary education (4th grade),other,other,home,father,<15 min.,2 to 5 hours,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,0,12,13,12
94,GP,F,16,Urban,Greater than 3,Living together,higher education,5th to 9th grade,teacher,services,home,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,1,2,13,14,14
95,GP,M,15,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,services,health,reputation,mother,<15 min.,>10 hours,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,2,11,12,12
96,GP,F,15,Rural,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),at_home,other,home,mother,15 to 30 min.,>10 hours,0,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,4,13,13,13
97,GP,M,16,Rural,Greater than 3,Living together,higher education,secondary education,services,other,reputation,mother,15 to 30 min.,<2 hours,0,yes,yes,yes,yes,no,yes,yes,no,3,3,3,1,1,4,6,9,11,11
98,GP,F,16,Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),other,other,course,mother,<15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,no,yes,4,3,5,1,1,5,0,13,12,12
99,GP,F,16,Urban,Greater than 3,Living together,higher education,higher education,other,other,reputation,mother,<15 min.,<2 hours,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,4,12,13,13
100,GP,F,16,Urban,Greater than 3,Living together,higher education,secondary education,other,at_home,course,mother,<15 min.,5 to 10 hours,0,yes,yes,no,no,yes,yes,yes,no,5,3,5,1,1,3,2,12,13,13
101,GP,M,16,Urban,Greater than 3,Living together,higher education,higher education,services,services,other,mother,<15 min.,<2 hours,0,yes,yes,no,yes,yes,yes,yes,no,4,5,5,5,5,4,12,9,9,8
102,GP,M,16,Urban,Greater than 3,Living together,higher education,higher education,services,teacher,other,father,<15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,16,16,16
103,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,services,other,course,mother,<15 min.,<2 hours,0,no,yes,yes,yes,no,yes,yes,no,5,3,3,1,1,5,2,12,13,12
104,GP,F,15,Urban,Greater than 3,Living together,secondary education,5th to 9th grade,services,other,home,mother,15 to 30 min.,2 to 5 hours,0,yes,yes,no,no,yes,yes,yes,no,4,3,5,1,1,2,16,11,10,10
105,GP,M,15,Urban,Greater than 3,Apart,secondary education,higher education,services,other,course,mother,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,1,1,0,16,16,16
106,GP,F,15,Urban,Greater than 3,Apart,secondary education,secondary education,other,health,reputation,father,<15 min.,>10 hours,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,10,10,10,10
107,GP,F,15,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,other,other,course,mother,<15 min.,>10 hours,0,yes,yes,no,no,yes,yes,yes,no,5,1,2,1,1,3,4,10,10,10
108,GP,M,16,Urban,Greater than 3,Living together,secondary education,secondary education,services,other,home,father,<15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,13,14,14
109,GP,M,15,Rural,Greater than 3,Living together,higher education,higher education,other,other,home,father,>1 hour,>10 hours,0,no,yes,no,yes,yes,yes,yes,yes,1,3,5,3,5,1,8,12,10,11
110,GP,F,16,Urban,Less than or equal to 3,Living together,higher education,higher education,health,health,other,mother,<15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,yes,5,4,5,1,1,4,2,15,15,14
111,GP,M,15,Urban,Less than or equal to 3,Apart,higher education,higher education,teacher,teacher,course,mother,<15 min.,<2 hours,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,4,13,14,14
112,GP,F,16,Rural,Greater than 3,Living together,secondary education,secondary education,services,other,reputation,father,<15 min.,5 to 10 hours,0,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,4,11,11,11
113,GP,F,16,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,at_home,other,home,mother,<15 min.,2 to 5 hours,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,12,8,10,10
114,GP,M,15,Urban,Less than or equal to 3,Living together,higher education,5th to 9th grade,teacher,other,course,mother,<15 min.,<2 hours,0,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,3,10,18,17,18
115,GP,M,15,Rural,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),health,services,reputation,mother,<15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,4,10,9,10
116,GP,M,16,Urban,Greater than 3,Living together,higher education,higher education,teacher,teacher,course,father,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,2,5,6,16,14,14
117,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,other,teacher,reputation,father,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,no,4,4,3,1,1,2,4,16,15,16
118,GP,M,16,Urban,Greater than 3,Living together,secondary education,secondary education,other,services,home,father,15 to 30 min.,<2 hours,0,no,no,no,yes,yes,yes,yes,no,5,4,2,1,1,5,6,14,14,15
119,GP,M,17,Rural,Greater than 3,Living together,primary education (4th grade),secondary education,other,other,course,father,30 min. to 1 hour,2 to 5 hours,1,no,yes,no,yes,yes,yes,yes,no,5,2,4,1,4,5,14,12,11,11
120,GP,M,15,Urban,Greater than 3,Living together,secondary education,higher education,other,other,reputation,father,<15 min.,<2 hours,0,no,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,2,14,13,14
121,GP,F,15,Urban,Greater than 3,Living together,primary education (4th grade),5th to 9th grade,at_home,services,course,mother,<15 min.,2 to 5 hours,0,no,no,no,no,no,yes,yes,no,3,2,3,1,2,1,0,14,14,14
122,GP,M,15,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,services,services,home,father,<15 min.,>10 hours,0,no,yes,no,yes,yes,yes,yes,no,5,5,4,1,2,5,6,14,13,13
123,GP,F,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,higher education,other,health,course,father,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,14,12,13
124,GP,M,16,Urban,Greater than 3,Living together,higher education,higher education,health,other,course,mother,<15 min.,<2 hours,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,5,4,12,13,13
125,GP,F,16,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,other,other,home,mother,<15 min.,2 to 5 hours,0,no,no,no,no,yes,yes,yes,yes,5,4,4,1,1,5,0,12,11,11
126,GP,M,15,Urban,Greater than 3,Living together,secondary education,higher education,services,services,home,father,<15 min.,<2 hours,0,yes,no,no,no,yes,yes,yes,no,5,5,5,3,2,5,2,9,9,9
127,GP,F,15,Urban,Less than or equal to 3,Apart,secondary education,higher education,other,other,home,mother,<15 min.,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,1,0,10,11,11
128,GP,F,19,Urban,Greater than 3,Living together,none,primary education (4th grade),at_home,other,course,other,<15 min.,2 to 5 hours,2,no,yes,no,no,no,no,no,no,3,4,2,1,1,5,0,9,10,11
129,GP,M,16,Rural,Greater than 3,Living together,higher education,higher education,teacher,teacher,course,mother,<15 min.,<2 hours,0,no,no,no,yes,yes,yes,yes,no,3,5,5,2,5,4,8,14,14,15
130,GP,M,16,Urban,Greater than 3,Living together,5th to 9th grade,secondary education,other,other,course,mother,15 to 30 min.,5 to 10 hours,0,no,yes,no,no,no,yes,yes,yes,3,2,3,2,2,1,4,13,12,13
131,GP,F,15,Rural,Greater than 3,Living together,secondary education,higher education,services,teacher,course,father,15 to 30 min.,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,yes,4,2,2,2,2,5,0,10,11,12
